model_key,policy_name,budget_fraction,num_evaluations,mean_logit_l2,mean_kl,mean_top1_agreement,mean_token_fraction,mean_budget_token_fraction,mean_retained_turn_fraction
qwen25_15b,geometry_lexical,0.50,18,252.72146775987414,6.734892098162841e-06,1.0,0.7471321117148365,0.5894133059314131,0.6972222222222223
qwen25_15b,geometry_lexical,0.65,18,253.39007059733072,6.7299599711350625e-06,1.0,0.8210913689093666,0.6743742039479296,0.775
qwen25_15b,lexical,0.20,18,314.43805525037976,6.778334834262662e-06,1.0,0.5803389652984151,0.40030522983754013,0.4833333333333333
qwen25_15b,lexical,0.35,18,267.01322258843317,6.321666493441174e-06,1.0,0.6547768899712254,0.4862255716678474,0.5916666666666667
qwen25_15b,lexical,0.50,18,276.5822914971246,6.7363411090740994e-06,1.0,0.7514318891601603,0.5941437022190136,0.6972222222222223
qwen25_15b,lexical,0.65,18,257.243884616428,6.7336343731522816e-06,1.0,0.8181673923011795,0.6789690243322236,0.775
qwen25_15b,uniform,0.20,18,314.43805525037976,6.778334834262662e-06,1.0,0.5803389652984151,0.40030522983754013,0.4833333333333333
qwen25_15b,uniform,0.35,18,267.01322258843317,6.321666493441174e-06,1.0,0.6547768899712254,0.4862255716678474,0.5916666666666667
qwen25_15b,uniform,0.50,18,219.9812020195855,6.502814799956723e-06,1.0,0.7459139077832818,0.6330244261698703,0.6972222222222223
qwen25_15b,uniform,0.65,18,212.11310619778104,5.128139984100777e-06,1.0,0.7595163293764899,0.6963391347019084,0.7194444444444446
smollm2_17b,geometry,0.20,18,232.51271057128906,0.12333239149731728,0.8333333333333334,0.5741290225025787,0.39774669142631897,0.4722222222222222
smollm2_17b,geometry,0.35,18,176.934573703342,0.07770825126120447,0.7222222222222222,0.6676802115000404,0.5054933487158475,0.5916666666666667
smollm2_17b,geometry,0.50,18,166.9780158996582,0.05209316449794264,0.8333333333333334,0.7528557378151834,0.600637747633923,0.6972222222222223
smollm2_17b,geometry,0.65,18,161.05453194512262,0.023649305729953655,0.9444444444444444,0.8222989494836157,0.6807990122432712,0.775
smollm2_17b,geometry_lexical,0.20,18,232.51271057128906,0.12333239149731728,0.8333333333333334,0.5741290225025787,0.39774669142631897,0.4722222222222222
smollm2_17b,geometry_lexical,0.35,18,200.2893329196506,0.07303014153901838,0.7777777777777778,0.655118623431426,0.4912218806158525,0.5916666666666667
smollm2_17b,geometry_lexical,0.50,18,180.15966669718424,0.05702092194307045,0.8333333333333334,0.7474033604329816,0.5943683048057987,0.6972222222222223
smollm2_17b,geometry_lexical,0.65,18,161.05453194512262,0.023649305729953655,0.9444444444444444,0.8222989494836157,0.6807990122432712,0.775
smollm2_17b,lexical,0.20,18,232.51271057128906,0.12333239149731728,0.8333333333333334,0.5741290225025787,0.39774669142631897,0.4722222222222222
smollm2_17b,lexical,0.35,18,210.64711252848306,0.06808692552643454,0.8333333333333334,0.6614035032102816,0.4984069211102382,0.5916666666666667
smollm2_17b,lexical,0.50,18,190.51744630601672,0.05207770593048661,0.8888888888888888,0.7536882402118372,0.6015533453001843,0.6972222222222223
smollm2_17b,lexical,0.65,18,161.05453194512262,0.023649305729953655,0.9444444444444444,0.8222989494836157,0.6807990122432712,0.775
smollm2_17b,uniform,0.20,18,232.51271057128906,0.12333239149731728,0.8333333333333334,0.5741290225025787,0.39774669142631897,0.4722222222222222
smollm2_17b,uniform,0.35,18,210.64711252848306,0.06808692552643454,0.8333333333333334,0.6614035032102816,0.4984069211102382,0.5916666666666667
smollm2_17b,uniform,0.50,18,169.69946246676975,0.05083773103414894,0.8888888888888888,0.7404944408099622,0.6373496005275437,0.6861111111111112
smollm2_17b,uniform,0.65,18,161.96231375800238,0.05380510934680337,0.8333333333333334,0.7521060662108168,0.68867538526178,0.7083333333333333
