model_key,conversation_id,family,target_turn,policy_name,budget_fraction,budget_token_fraction,retained_turn_fraction,retained_turn_indices,full_token_count,compressed_token_count,token_fraction,logit_l2,kl,top1_match,kept_segment_count,compressed_segment_count,evicted_segment_count,memory_objects
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,5,geometry,0.35,0.38011695906432746,0.6,"1,3,4",184,121,0.657608695652174,179.11618041992188,1.3223027053754777e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,5,geometry_keep_compress_drop,0.35,0.4152046783625731,0.6,"2,3,4",184,127,0.6902173913043478,828.1600952148438,0.0012195486342534423,1.0,1,0,1,"[{""segment_start"":2,""segment_end"":3,""anchor_turn_index"":2,""support_turn_indices"":[],""retained_turn_indices"":[2],""risk"":0.6348716020584106,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,5,semantic_keep_compress_drop,0.35,0.4152046783625731,0.6,"2,3,4",184,127,0.6902173913043478,828.1600952148438,0.0012195486342534423,1.0,1,0,1,"[{""segment_start"":2,""segment_end"":3,""anchor_turn_index"":2,""support_turn_indices"":[],""retained_turn_indices"":[2],""risk"":0.03709515929222107,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,5,uniform,0.5,0.5555555555555556,0.8,"1,2,3,4",184,151,0.8206521739130435,178.12098693847656,3.140518310829066e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,5,semantic,0.5,0.5555555555555556,0.8,"1,2,3,4",184,151,0.8206521739130435,178.12098693847656,3.140518310829066e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,5,geometry,0.5,0.5555555555555556,0.8,"1,2,3,4",184,151,0.8206521739130435,178.12098693847656,3.140518310829066e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,5,geometry_keep_compress_drop,0.5,0.4152046783625731,0.6,"2,3,4",184,127,0.6902173913043478,828.1600952148438,0.0012195486342534423,1.0,1,0,1,"[{""segment_start"":2,""segment_end"":3,""anchor_turn_index"":2,""support_turn_indices"":[],""retained_turn_indices"":[2],""risk"":0.6348716020584106,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,5,semantic_keep_compress_drop,0.5,0.5555555555555556,0.8,"1,2,3,4",184,151,0.8206521739130435,178.12098693847656,3.140518310829066e-05,1.0,1,1,0,"[{""segment_start"":0,""segment_end"":2,""anchor_turn_index"":1,""support_turn_indices"":[],""retained_turn_indices"":[1],""risk"":0.02842031419277191,""action"":""compress""},{""segment_start"":2,""segment_end"":3,""anchor_turn_index"":2,""support_turn_indices"":[],""retained_turn_indices"":[2],""risk"":0.03709515929222107,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,uniform,0.2,0.29347826086956524,0.5,"1,4,5",202,115,0.5693069306930693,398.16497802734375,1.0438373465149198e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,semantic,0.2,0.29347826086956524,0.5,"3,4,5",202,115,0.5693069306930693,638.5706176757812,6.603756628464907e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,geometry,0.2,0.29347826086956524,0.5,"1,4,5",202,115,0.5693069306930693,398.16497802734375,1.0438373465149198e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,geometry_keep_compress_drop,0.2,0.32608695652173914,0.5,"2,4,5",202,121,0.599009900990099,532.26318359375,1.1984654520347249e-05,1.0,0,1,1,"[{""segment_start"":2,""segment_end"":4,""anchor_turn_index"":2,""support_turn_indices"":[],""retained_turn_indices"":[2],""risk"":0.6051998734474182,""action"":""compress""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,semantic_keep_compress_drop,0.2,0.29347826086956524,0.5,"3,4,5",202,115,0.5693069306930693,638.5706176757812,6.603756628464907e-05,1.0,0,1,1,"[{""segment_start"":2,""segment_end"":4,""anchor_turn_index"":3,""support_turn_indices"":[],""retained_turn_indices"":[3],""risk"":0.3903461694717407,""action"":""compress""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,uniform,0.35,0.45652173913043476,0.6666666666666666,"1,2,4,5",202,145,0.7178217821782178,388.9771728515625,1.2458590390451718e-06,1.0,0,0,0,[]
