model_key,policy_name,budget_fraction,num_evaluations,mean_answer_avg_neg_logprob,mean_answer_total_neg_logprob,mean_answer_avg_neg_logprob_delta,mean_answer_total_neg_logprob_delta
qwen25_05b,geometry,0.20,18,1.5010789920173426,23.41840277777778,0.6929751073539415,10.51931423611111
qwen25_05b,geometry,0.35,18,1.1229457097865696,18.10590277777778,0.31484182512316816,5.206814236111111
qwen25_05b,geometry,0.50,18,0.8894740789030295,14.82785373263889,0.08137019423962841,1.9287651909722223
qwen25_05b,geometry_lexical,0.20,18,1.6056205008557265,24.568359375,0.7975166161923253,11.669270833333334
qwen25_05b,geometry_lexical,0.35,18,1.2019250006285247,18.71050347222222,0.3938211159651235,5.811414930555555
qwen25_05b,geometry_lexical,0.50,18,0.9008931230680844,15.142957899305555,0.0927892384046832,2.243869357638889
qwen25_05b,geometry_segment_actions,0.20,18,1.5355142053176876,23.875868055555557,0.7274103206542865,10.97677951388889
qwen25_05b,geometry_segment_actions,0.35,18,1.2196030241746716,19.26605902777778,0.41149913951127065,6.366970486111111
qwen25_05b,geometry_segment_actions,0.50,18,0.9381341968187074,15.589735243055555,0.13003031215530605,2.690646701388889
qwen25_05b,lexical,0.20,18,1.6056205008557265,24.568359375,0.7975166161923253,11.669270833333334
qwen25_05b,lexical,0.35,18,1.2054057471278883,18.68793402777778,0.397301862464487,5.788845486111111
qwen25_05b,lexical,0.50,18,0.8316501706014477,14.016004774305555,0.023546285938046516,1.1169162326388888
qwen25_05b,uniform,0.20,18,1.584557633601453,24.10177951388889,0.7764537489380517,11.202690972222221
qwen25_05b,uniform,0.35,18,1.2141642051050963,19.37890625,0.406060320441695,6.479817708333333
qwen25_05b,uniform,0.50,18,1.3175767796119309,20.49197048611111,0.5094728949485299,7.592881944444445
qwen25_05b,uniform_segment_actions,0.20,18,1.514451338063414,23.409288194444443,0.7063474534000129,10.510199652777779
qwen25_05b,uniform_segment_actions,0.35,18,1.216064028448176,19.220052083333332,0.4079601437847749,6.320963541666667
qwen25_05b,uniform_segment_actions,0.50,18,1.0481830199294822,16.25737847222222,0.24007913526608085,3.3582899305555554
qwen25_15b,geometry,0.20,18,1.6459057094985368,24.41677517361111,1.0471586842458345,14.803019205729166
qwen25_15b,geometry,0.35,18,1.0900265286332549,16.359483506944443,0.4912795033805527,6.7457275390625
qwen25_15b,geometry,0.50,18,0.8395914803553927,13.115885416666666,0.24084445510269056,3.5021294487847223
qwen25_15b,geometry_lexical,0.20,18,1.6252410671233681,23.941080729166668,1.026494041870666,14.327324761284721
qwen25_15b,geometry_lexical,0.35,18,1.1798383753307968,17.712999131944443,0.5810913500780946,8.0992431640625
qwen25_15b,geometry_lexical,0.50,18,0.8924072721720068,13.490234375,0.2936602469193047,3.8764784071180554
qwen25_15b,geometry_segment_actions,0.20,18,1.616533124136368,24.08648003472222,1.0177860988836658,14.472724066840279
qwen25_15b,geometry_segment_actions,0.35,18,1.1172695517627955,16.082356770833332,0.5185225265100935,6.468600802951389
qwen25_15b,geometry_segment_actions,0.50,18,0.8271009845307069,13.25339084201389,0.22835395927800478,3.6396348741319446
qwen25_15b,lexical,0.20,18,1.6252410671233681,23.941080729166668,1.026494041870666,14.327324761284721
qwen25_15b,lexical,0.35,18,1.2527433273475908,18.27202690972222,0.6539963020948887,8.658270941840279
qwen25_15b,lexical,0.50,18,0.7230369436326988,11.380086263020834,0.12428991837999664,1.7663302951388888
qwen25_15b,uniform,0.20,18,1.6229978947141799,23.71169704861111,1.024250869461478,14.097941080729166
qwen25_15b,uniform,0.35,18,1.2714364564611778,19.36056857638889,0.6726894312084755,9.746812608506945
qwen25_15b,uniform,0.50,18,1.3485835178108185,20.33843315972222,0.7498364925581165,10.724677191840279
qwen25_15b,uniform_segment_actions,0.20,18,1.6142899517271798,23.857096354166668,1.015542926474478,14.243340386284721
qwen25_15b,uniform_segment_actions,0.35,18,1.1596210020264797,17.5302734375,0.5608739767737777,7.916517469618055
qwen25_15b,uniform_segment_actions,0.50,18,0.9590243381444105,13.875542534722221,0.3602773128917082,4.261786566840278
smollm2_17b,geometry,0.20,18,1.3465320764623299,21.76614040798611,0.7892476280418266,12.026326497395834
smollm2_17b,geometry,0.35,18,1.052420238007865,17.210367838541668,0.49513578958736193,7.470553927951389
smollm2_17b,geometry,0.50,18,0.8380081085443815,13.808024088541666,0.2807236601238783,4.068210177951389
smollm2_17b,geometry_lexical,0.20,18,1.3867715245142778,22.17803276909722,0.8294870760937747,12.438218858506945
smollm2_17b,geometry_lexical,0.35,18,1.050498114991992,17.183458116319443,0.49321366657148885,7.443644205729167
smollm2_17b,geometry_lexical,0.50,18,0.860594894281317,13.89699978298611,0.3033104458608139,4.157185872395833
smollm2_17b,geometry_segment_actions,0.20,18,1.3465320764623299,21.76614040798611,0.7892476280418266,12.026326497395834
smollm2_17b,geometry_segment_actions,0.35,18,1.052420238007865,17.210367838541668,0.49513578958736193,7.470553927951389
smollm2_17b,geometry_segment_actions,0.50,18,0.75370450705328,12.779378255208334,0.19642005863277684,3.0395643446180554
smollm2_17b,lexical,0.20,18,1.385154325123106,22.059977213541668,0.8278698767026026,12.32016330295139
smollm2_17b,lexical,0.35,18,1.039922304806807,16.86618381076389,0.48263785638630363,7.126369900173611
smollm2_17b,lexical,0.50,18,0.6797986740808,11.518907335069445,0.12251422566029684,1.7790934244791667
smollm2_17b,uniform,0.20,18,1.3751985546204604,21.730550130208332,0.8179141061999572,11.990736219618055
smollm2_17b,uniform,0.35,18,1.0548580983425528,17.48163519965278,0.49757364992204983,7.7418212890625
smollm2_17b,uniform,0.50,18,1.1202498363480504,18.295003255208332,0.562965387927547,8.555189344618055
smollm2_17b,uniform_segment_actions,0.20,18,1.3346541829438112,21.409803602430557,0.777369734523308,11.669989691840279
smollm2_17b,uniform_segment_actions,0.35,18,0.9849910479039564,16.18606228298611,0.4277065994834534,6.446248372395833
smollm2_17b,uniform_segment_actions,0.50,18,0.8493275822128927,13.538926866319445,0.2920431337923896,3.7991129557291665
