model_key,policy_name,budget_fraction,num_evaluations,mean_logit_l2,mean_kl,mean_top1_agreement,mean_token_fraction,mean_budget_token_fraction,mean_retained_turn_fraction,mean_kept_segments,mean_compressed_segments,mean_evicted_segments
qwen25_05b,geometry,0.20,36,334.0519663492839,9.194268045255151e-06,1.0,0.5407903123478023,0.34964483082854414,0.5083333333333333,0.0,0.0,0.0
qwen25_05b,geometry,0.35,36,275.0846339331733,1.0413480922523268e-05,1.0,0.6399794651928841,0.46102410150690887,0.6225529100529101,0.0,0.0,0.0
qwen25_05b,geometry,0.50,36,259.98235596550836,7.280045242203443e-06,1.0,0.7297372758031151,0.5618183426656305,0.7160714285714287,0.0,0.0,0.0
qwen25_05b,geometry_lexical,0.20,36,338.5654716491699,9.34975604896218e-06,1.0,0.5394532525671903,0.34818118943952964,0.5083333333333333,0.0,0.0,0.0
qwen25_05b,geometry_lexical,0.35,36,298.1142972310384,1.0278100244447912e-05,1.0,0.6278114967152065,0.44716316958410535,0.636441798941799,0.0,0.0,0.0
qwen25_05b,geometry_lexical,0.50,36,283.69715775383844,9.172616711424405e-06,1.0,0.7207822031219684,0.5518521484786789,0.7160714285714287,0.0,0.0,0.0
qwen25_05b,geometry_segment_actions,0.20,36,332.14058727688257,8.841792944099444e-06,1.0,0.5422557518977001,0.3512768393610168,0.5083333333333333,0.25,0.5,1.25
qwen25_05b,geometry_segment_actions,0.35,36,275.4724879794651,1.0227462354912071e-05,1.0,0.6471246377825134,0.4687318113919445,0.636441798941799,0.4444444444444444,1.0,0.5555555555555556
qwen25_05b,geometry_segment_actions,0.50,36,203.64779451158313,6.77344778804434e-06,1.0,0.7270710936570288,0.5590255438335631,0.7160714285714287,0.8055555555555556,0.8055555555555556,0.3888888888888889
qwen25_05b,lexical,0.20,36,370.8703787061903,9.541414545048236e-06,1.0,0.5416811953896751,0.35083614347887626,0.5083333333333333,0.0,0.0,0.0
qwen25_05b,lexical,0.35,36,340.59598541259766,1.0443274154065602e-05,1.0,0.6273138499668872,0.4467579548401889,0.632473544973545,0.0,0.0,0.0
qwen25_05b,lexical,0.50,36,296.95592943827313,8.15576941301213e-06,1.0,0.7164990647122368,0.5470527407243932,0.7160714285714287,0.0,0.0,0.0
qwen25_05b,uniform,0.20,36,399.70630645751953,9.954722457831503e-06,1.0,0.5472185118758299,0.35736947587020307,0.5083333333333333,0.0,0.0,0.0
qwen25_05b,uniform,0.35,36,374.5880716111925,1.1058762700910663e-05,1.0,0.6320212559640761,0.4637102246405824,0.6245370370370371,0.0,0.0,0.0
qwen25_05b,uniform,0.50,36,301.6506298912896,8.348308530550489e-06,1.0,0.6795395882075211,0.5798055090215349,0.6384259259259261,0.0,0.0,0.0
qwen25_05b,uniform_segment_actions,0.20,36,333.01506932576496,9.038570510390266e-06,1.0,0.5434184780604263,0.3525573271658948,0.5083333333333333,0.25,0.5,1.25
qwen25_05b,uniform_segment_actions,0.35,36,277.4733000861274,1.0257564719957153e-05,1.0,0.6482856102976527,0.4700639142484375,0.636441798941799,0.4444444444444444,1.0,0.5555555555555556
qwen25_05b,uniform_segment_actions,0.50,36,247.2713542514377,9.847486346661575e-06,1.0,0.7058880869120127,0.5352797906357867,0.7160714285714287,0.5,1.4166666666666667,0.08333333333333333
qwen25_15b,geometry,0.20,36,353.25332832336426,1.3273278391111463e-05,1.0,0.5402481384776832,0.3490582802168068,0.5083333333333333,0.0,0.0,0.0
