model_key,conversation_id,family,target_turn,policy_name,budget_fraction,answer_token_count,answer_avg_neg_logprob,answer_total_neg_logprob,full_answer_avg_neg_logprob,full_answer_total_neg_logprob,answer_avg_neg_logprob_delta,answer_total_neg_logprob_delta
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,uniform,0.24,10,3.0518478393554687,30.518478393554688,0.8524486541748046,8.524486541748047,2.1993991851806642,21.99399185180664
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry,0.24,10,3.0518478393554687,30.518478393554688,0.8524486541748046,8.524486541748047,2.1993991851806642,21.99399185180664
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_segment_actions,0.24,10,3.0518478393554687,30.518478393554688,0.8524486541748046,8.524486541748047,2.1993991851806642,21.99399185180664
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_keep_compress_drop,0.24,10,3.0518478393554687,30.518478393554688,0.8524486541748046,8.524486541748047,2.1993991851806642,21.99399185180664
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,uniform,0.28,10,3.0518478393554687,30.518478393554688,0.8524486541748046,8.524486541748047,2.1993991851806642,21.99399185180664
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry,0.28,10,3.0518478393554687,30.518478393554688,0.8524486541748046,8.524486541748047,2.1993991851806642,21.99399185180664
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_segment_actions,0.28,10,3.0518478393554687,30.518478393554688,0.8524486541748046,8.524486541748047,2.1993991851806642,21.99399185180664
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_keep_compress_drop,0.28,10,3.0518478393554687,30.518478393554688,0.8524486541748046,8.524486541748047,2.1993991851806642,21.99399185180664
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,uniform,0.32,10,0.7797642707824707,7.797642707824707,0.8524486541748046,8.524486541748047,-0.07268438339233396,-0.7268438339233398
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry,0.32,10,0.7797642707824707,7.797642707824707,0.8524486541748046,8.524486541748047,-0.07268438339233396,-0.7268438339233398
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_segment_actions,0.32,10,0.7797642707824707,7.797642707824707,0.8524486541748046,8.524486541748047,-0.07268438339233396,-0.7268438339233398
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_keep_compress_drop,0.32,10,0.7797642707824707,7.797642707824707,0.8524486541748046,8.524486541748047,-0.07268438339233396,-0.7268438339233398
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,uniform,0.35,10,0.7797642707824707,7.797642707824707,0.8524486541748046,8.524486541748047,-0.07268438339233396,-0.7268438339233398
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry,0.35,10,0.7797642707824707,7.797642707824707,0.8524486541748046,8.524486541748047,-0.07268438339233396,-0.7268438339233398
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_segment_actions,0.35,10,0.7797642707824707,7.797642707824707,0.8524486541748046,8.524486541748047,-0.07268438339233396,-0.7268438339233398
qwen25_15b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_keep_compress_drop,0.35,10,0.7797642707824707,7.797642707824707,0.8524486541748046,8.524486541748047,-0.07268438339233396,-0.7268438339233398
